N    conf  delai_moy  resid  debit_ph   span_s   min(dep)  max(arr)  resolus  debit_resolus
90   12    3.12       0      124        2623     2         2625      90       124
95   13    3.60       0      125        2743     2         2745      95       125
100  13    3.96       1      127        2833     2         2835      99       126
105  18    4.34       1      133        2833     2         2835      104      132
110  22    4.72       1      140        2833     2         2835      109      139
115  25    5.08       1      146        2833     2         2835      114      145
120  29    5.47       2      148        2923     2         2925      118      145
125  32    5.83       4      151        2979     2         2981      121      146
130  34    6.08       8      157        2979     2         2981      122      147
135  38    6.28       8      163        2981     0         2981      127      153
140  39    6.79       13     164        3071     0         3071      127      149
145  40    7.18       15     230        2269     0         2269      130      206
150  40    7.48       20     238        2269     0         2269      130      206
155  44    7.83       25     246        2269     0         2269      130      206
160  46    8.14       30     254        2269     0         2269      130      206

non-monotonies de debit: aucune (le debit ne fait que MONTER, y compris quand le reseau sature)
